zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10027,New York,NY,shopping,1,3,18,500,4,68,1,8,40.81,-73.95
10027,New York,NY,localservices,2,23,5,227,1,6,0,0,40.81,-73.95
10028,New York,NY,restaurants,3,1383,18,9519,2,1331,1,83,40.78,-73.95
10028,New York,NY,shopping,2,58,13,775,4,364,1,39,40.78,-73.95
10028,New York,NY,localservices,2,97,4,161,0,0,1,16,40.78,-73.95
10029,New York,NY,restaurants,14,2163,22,4466,2,1025,1,134,40.79,-73.94
10029,New York,NY,shopping,7,200,10,162,0,0,2,16,40.79,-73.94
10029,New York,NY,localservices,3,51,5,49,1,5,0,0,40.79,-73.94
10030,New York,NY,restaurants,12,688,12,1719,1,104,0,0,40.82,-73.94
10030,New York,NY,shopping,4,73,7,76,2,58,0,0,40.82,-73.94
10030,New York,NY,localservices,4,22,4,40,0,0,0,0,40.82,-73.94
10031,New York,NY,restaurants,9,940,26,6755,0,0,0,0,40.83,-73.95
10031,New York,NY,shopping,4,39,13,201,4,24,0,0,40.83,-73.95
10031,New York,NY,localservices,5,65,7,128,0,0,1,10,40.83,-73.95
10032,New York,NY,restaurants,25,2113,12,2228,0,0,0,0,40.84,-73.94
10032,New York,NY,shopping,11,53,17,246,2,32,1,2,40.84,-73.94
10032,New York,NY,localservices,6,49,3,28,2,23,0,0,40.84,-73.94
10033,New York,NY,restaurants,17,1198,28,5021,0,0,0,0,40.85,-73.93
10033,New York,NY,shopping,6,30,16,147,2,13,5,57,40.85,-73.93
10033,New York,NY,localservices,4,29,4,40,1,12,1,17,40.85,-73.93
10034,New York,NY,restaurants,10,686,26,6156,1,90,0,0,40.87,-73.92
10034,New York,NY,shopping,4,58,13,213,1,1,0,0,40.87,-73.92
10034,New York,NY,localservices,2,18,3,52,1,4,0,0,40.87,-73.92
10035,New York,NY,restaurants,4,281,7,1669,0,0,0,0,40.8,-73.93
10035,New York,NY,shopping,5,68,6,849,0,0,0,0,40.8,-73.93
10035,New York,NY,localservices,1,8,2,22,0,0,0,0,40.8,-73.93
10036,New York,NY,restaurants,7,7281,19,33459,3,3566,1,823,40.76,-73.99
10036,New York,NY,shopping,3,818,17,2663,3,241,1,60,40.76,-73.99
10036,New York,NY,localservices,2,497,8,981,0,0,0,0,40.76,-73.99
10037,New York,NY,restaurants,2,158,0,0,0,0,0,0,40.81,-73.94
10037,New York,NY,shopping,2,32,3,32,0,0,0,0,40.81,-73.94
10037,New York,NY,localservices,0,0,2,69,0,0,0,0,40.81,-73.94
10038,New York,NY,restaurants,4,956,17,6191,1,433,1,370,40.71,-74.0
10038,New York,NY,shopping,5,294,3,99,0,0,0,0,40.71,-74.0
10038,New York,NY,localservices,2,170,1,239,0,0,0,0,40.71,-74.0
10039,New York,NY,restaurants,0,0,2,256,0,0,0,0,40.83,-73.94
10039,New York,NY,shopping,2,13,2,38,0,0,0,0,40.83,-73.94
10039,New York,NY,localservices,1,4,2,37,1,7,0,0,40.83,-73.94
10040,New York,NY,restaurants,4,530,12,2060,1,469,0,0,40.86,-73.93
10040,New York,NY,shopping,6,31,6,114,0,0,0,0,40.86,-73.93
10040,New York,NY,localservices,2,24,0,0,0,0,0,0,40.86,-73.93
10041,New York,NY,restaurants,0,0,1,14,0,0,0,0,40.71,-73.99
10041,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10041,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10043,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10043,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10043,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10044,New York,NY,restaurants,4,155,2,181,0,0,0,0,40.76,-73.95
10044,New York,NY,shopping,2,14,0,0,0,0,0,0,40.76,-73.95
10044,New York,NY,localservices,1,1,0,0,0,0,1,10,40.76,-73.95
10045,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10045,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10045,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10046,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.01
10046,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.01
10046,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.01
10047,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.01
10047,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.01
10047,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.01
10048,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.01
10048,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.01
