zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,tot_pr_1,tot_rv_1,tot_pr_2,tot_rv_2,tot_pr_3,tot_rv_3,tot_pr_4,tot_rv_4,zero_check
07751,Morganville,NJ,40.357838805851685,-74.28650051613832,2,22,6,375,1,131,0,0,0,0,10,122,0,0,1,9,0,0,2,6,0,0,1,9,9620,1375460,41667,63228,340,2083,6840009,1482778,154.13492723492726,2,22,18,503,1,131,2,18,697
07760,Rumson,NJ,40.367054969158175,-73.98709142884826,4,104,11,1299,10,1252,0,0,0,0,2,42,2,4,0,0,0,0,0,0,0,0,0,0,4590,1541848,33020,47977,33,7958,8324621,1630836,355.30196078431374,4,104,13,1341,12,1256,0,0,2730
07821,Andover,NJ,40.971823380405134,-74.73957295667563,3,8,5,229,1,94,0,0,2,17,1,25,1,6,0,0,0,0,0,0,0,0,0,0,4320,405371,28898,23380,96,137,1869219,457882,105.9912037037037,5,25,6,254,2,100,0,0,392
07927,Cedar Knolls,NJ,40.81915221757717,-74.45397931438077,5,112,4,269,1,269,0,0,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,219752,11491,7861,75,143,1021750,239322,115.05865384615385,7,163,4,269,1,269,0,0,713
07932,Florham Park,NJ,40.78706995968783,-74.39427967207203,7,166,15,1396,1,24,0,0,2,11,5,46,1,11,0,0,1,6,2,23,0,0,0,0,5450,1279368,40870,31042,98,4435,6357299,1355813,248.77302752293582,10,183,22,1465,2,35,0,0,1717
08007,Barrington,NJ,39.86951717182311,-75.05114103771477,4,66,3,120,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2520,146707,11012,7811,48,0,609213,165578,65.70555555555555,5,68,4,121,0,0,0,0,198
08061,Mount Royal,NJ,39.8099,-75.21124,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,134846,4923,6575,39,12,606864,146395,98.91554054054056,1,24,0,0,0,0,0,0,25
08066,Paulsboro,NJ,39.82717275190556,-75.23718009935398,5,52,6,111,0,0,0,0,1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3680,152687,13096,3838,55,0,569972,169676,46.10760869565218,6,53,8,119,0,0,0,0,186
08073,Rancocas,NJ,40.01,-74.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,14384,1950,520,0,0,58091,16854,80.25714285714284,0,0,0,0,0,0,0,0,0
08080,Sewell,NJ,39.76034630541128,-75.10416898947044,15,311,27,1364,1,49,0,0,3,6,13,72,4,22,0,0,1,1,2,7,1,5,1,3,18580,1592098,118248,79952,359,749,7222852,1791406,96.41582346609259,19,318,42,1443,6,76,1,3,1908
08081,Sicklerville,NJ,39.73411001953399,-74.99925325314359,23,553,21,1202,0,0,0,0,3,7,17,78,1,2,0,0,1,3,0,0,0,0,0,0,23760,1476747,103009,74277,1026,238,6341945,1655297,69.66738215488215,27,563,38,1280,1,2,0,0,1911
08105,Camden,NJ,39.948387352724254,-75.08674056348268,10,145,5,107,2,15,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11590,297760,10934,1943,576,0,970206,311213,26.851855047454706,11,146,6,108,2,15,0,0,288
08812,Green Brook Township,NJ,40.59522525909528,-74.47422599150103,21,674,21,1371,0,0,0,0,3,11,16,150,5,54,2,14,1,8,1,3,0,0,0,0,7160,644278,24498,32230,171,541,2992567,701718,98.00530726256984,25,693,38,1524,5,54,2,14,2355
08830,Iselin,NJ,40.56850135866768,-74.3195798764562,20,941,31,5459,3,166,0,0,4,7,15,223,13,259,1,5,0,0,1,31,0,0,0,0,9280,694560,36511,25238,293,1173,2976454,757775,81.65678879310343,24,948,47,5713,16,425,1,5,7179
87013,Cuba,NM,36.010502798108355,-106.962698934145,5,56,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610,44360,4369,68,0,0,137941,48797,30.308695652173913,5,56,1,140,0,0,0,0,202
87021,Milan,NM,35.174409700617,-107.89545449487814,5,272,2,66,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,980,40766,3942,160,19,0,139287,44887,45.803061224489795,5,272,3,68,0,0,0,0,348
87036,Mountainair,NM,34.519774651949504,-106.24300796543169,1,10,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,32570,6981,257,10,0,116605,39818,51.04871794871796,1,10,1,14,0,0,0,0,26
87114,Albuquerque,NM,35.197734386075346,-106.65652381825501,35,1044,42,3227,0,0,0,0,11,98,40,414,17,74,1,3,2,25,0,0,2,6,1,18,28940,1747460,157684,26999,964,507,7056285,1933614,66.8145818935729,48,1167,82,3641,19,80,2,21,5060
87701,Las Vegas,NM,35.59946678605254,-105.22122566784927,20,329,11,647,0,0,1,14,1,2,11,27,0,0,0,0,0,0,1,1,0,0,0,0,8160,269195,53609,1652,216,90,924399,324762,39.79926470588235,21,331,23,675,0,0,1,14,1065
87821,Datil,NM,34.145207,-107.843776,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,9747,2341,0,0,0,31460,12088,54.94545454545455,0,0,1,33,0,0,0,0,34
87936,Garfield,NM,32.75,-107.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5666,804,0,0,0,14929,6470,43.13333333333333,0,0,0,0,0,0,0,0,0
87942,Williamsburg,NM,33.06,-107.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,15926,2987,36,0,0,48836,18949,40.31702127659575,0,0,0,0,0,0,0,0,0
88318,Corona,NM,34.25025,-105.59519,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,6849,1116,0,0,0,20692,7965,53.1,1,10,0,0,0,0,0,0,11
88426,Logan,NM,35.365124092042116,-103.41101452404352,2,7,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,21220,3425,69,0,0,70016,24714,50.43673469387755,2,7,1,17,0,0,0,0,27
10035,New York,NY,40.80058942330929,-73.93924811167828,26,679,13,1168,0,0,0,0,11,78,15,102,0,0,1,1,2,12,2,22,0,0,0,0,15130,689242,25796,2420,155,188,2840244,717801,47.44223397224058,39,769,30,1292,0,0,1,1,2132
