zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4
95439,Fulton,CA,38.49,-122.77,0,0,0,0,0,0,0,0,1,10,2,79,1,3,0,0,0,0,0,0,0,0,0,0
95469,Potter Valley,CA,39.39,-123.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95527,Hawkins Bar,CA,40.8696445,-123.5216841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95546,Hoopa,CA,41.056488704101206,-123.679577069552,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95567,Smith River,CA,41.93440497377548,-124.160446728584,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95686,Thornton,CA,38.226799,-121.42871090000001,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95689,Volcano,CA,38.442448399999996,-120.6308447,1,53,2,305,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
95692,Wheatland,CA,39.01124408411166,-121.42691786522312,4,185,3,114,0,0,0,0,2,8,4,271,0,0,0,0,1,1,0,0,0,0,0,0
95864,Sacramento,CA,38.587836513405435,-121.3752162524782,6,203,10,1973,1,271,0,0,2,51,10,229,4,189,0,0,3,48,9,212,2,108,0,0
95988,Willows,CA,39.52409558928563,-122.21262806516177,10,336,6,606,0,0,0,0,4,28,3,13,0,0,0,0,0,0,0,0,0,0,0,0
96016,Cassel,CA,40.92,-121.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80010,Aurora,CO,39.7369782155777,-104.86182881891581,26,670,14,498,0,0,2,9,8,63,15,373,6,29,1,7,2,8,4,18,0,0,0,0
80019,Aurora,CO,39.816656749282046,-104.749663475662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
