zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long,db_city
87701,Las Vegas,NM,localservices,0,0,1,1,0,0,0,0,35.59743146112903,-105.22640342604251,Las Vegas
87821,Datil,NM,restaurants,0,0,1,33,0,0,0,0,34.145207,-107.843776,Datil
87821,Datil,NM,shopping,0,0,0,0,0,0,0,0,34.14,-107.84,Datil
87821,Datil,NM,localservices,0,0,0,0,0,0,0,0,34.14,-107.84,Datil
87936,Garfield,NM,restaurants,0,0,0,0,0,0,0,0,32.75,-107.26,Garfield
87936,Garfield,NM,shopping,0,0,0,0,0,0,0,0,32.75,-107.26,Garfield
87936,Garfield,NM,localservices,0,0,0,0,0,0,0,0,32.75,-107.26,Garfield
87942,Williamsburg,NM,restaurants,0,0,0,0,0,0,0,0,33.06,-107.35,Williamsburg
87942,Williamsburg,NM,shopping,0,0,0,0,0,0,0,0,33.06,-107.35,Williamsburg
87942,Williamsburg,NM,localservices,0,0,0,0,0,0,0,0,33.06,-107.35,Williamsburg
88318,Corona,NM,restaurants,1,10,0,0,0,0,0,0,34.25025,-105.59519,Corona
88318,Corona,NM,shopping,0,0,0,0,0,0,0,0,34.24,-105.59,Corona
88318,Corona,NM,localservices,0,0,0,0,0,0,0,0,34.24,-105.59,Corona
88426,Logan,NM,restaurants,2,7,1,17,0,0,0,0,35.36512409204212,-103.41101452404351,Logan
88426,Logan,NM,shopping,0,0,0,0,0,0,0,0,35.36,-103.44,Logan
88426,Logan,NM,localservices,0,0,0,0,0,0,0,0,35.36,-103.44,Logan
10035,New York,NY,restaurants,26,679,13,1168,0,0,0,0,40.80058942330929,-73.93924811167828,New York
10035,New York,NY,shopping,11,78,15,102,0,0,1,1,40.80155982855118,-73.93848662267239,New York
10035,New York,NY,localservices,2,12,2,22,0,0,0,0,40.801862661351926,-73.93868042935422,New York
10170,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.75,-73.98,New York
10170,New York,NY,shopping,0,0,0,0,0,0,0,0,40.752546,-73.97544,New York
10170,New York,NY,localservices,0,0,0,0,0,0,0,0,40.752696,-73.97586,New York
10588,Shrub Oak,NY,restaurants,1,32,7,262,0,0,0,0,41.32990854526551,-73.82446118453012,Shrub Oak
10588,Shrub Oak,NY,shopping,0,0,2,11,0,0,0,0,41.3285244157469,-73.83190951586914,Shrub Oak
10588,Shrub Oak,NY,localservices,1,5,1,3,0,0,0,0,41.329157542016276,-73.82773818273063,Shrub Oak
10709,Eastchester,NY,restaurants,3,93,10,1296,1,29,0,0,40.95536633753477,-73.81416547209685,Eastchester
10709,Eastchester,NY,shopping,1,3,9,68,1,10,1,3,40.95499715946065,-73.8132247449422,Eastchester
10709,Eastchester,NY,localservices,0,0,2,8,1,5,0,0,40.955352855316825,-73.81427032359346,Eastchester
10917,Woodbury,NY,restaurants,11,157,12,777,0,0,0,0,41.320802707690234,-74.12455139071496,Central Valley
10917,Woodbury,NY,shopping,3,5,24,765,30,184,13,47,41.316965804311515,-74.1261591348974,Central Valley
10917,Woodbury,NY,localservices,0,0,0,0,0,0,0,0,41.321297464247984,-74.12454603247645,Central Valley
10922,Fort Montgomery,NY,restaurants,0,0,2,195,0,0,0,0,41.3353350034551,-73.9831065586365,Fort Montgomery
10922,Fort Montgomery,NY,shopping,0,0,0,0,0,0,0,0,41.33,-74.0,Fort Montgomery
10922,Fort Montgomery,NY,localservices,0,0,0,0,0,0,0,0,41.33,-74.0,Fort Montgomery
10956,New City,NY,restaurants,15,455,36,2156,1,40,0,0,41.142790618935244,-73.99130804796192,New City
10956,New City,NY,shopping,2,9,9,81,2,13,1,27,41.14324072258138,-73.99168815226888,New City
10956,New City,NY,localservices,3,4,2,11,0,0,0,0,41.144571866047755,-73.98925917959194,New City
10962,Orangeburg,NY,restaurants,5,80,14,744,1,152,0,0,41.047288333271595,-73.94982469711051,Orangeburg
10962,Orangeburg,NY,shopping,0,0,2,59,0,0,0,0,41.044522778385954,-73.9493108950542,Orangeburg
10962,Orangeburg,NY,localservices,1,2,1,1,0,0,0,0,41.04887269254837,-73.94893144299448,Orangeburg
10987,Tuxedo Park,NY,restaurants,3,64,3,355,0,0,0,0,41.19360860776286,-74.19261443195724,Tuxedo Park
10987,Tuxedo Park,NY,shopping,0,0,1,1,0,0,0,0,41.208454424050636,-74.18599998935413,Tuxedo Park
10987,Tuxedo Park,NY,localservices,0,0,0,0,0,0,0,0,41.217034999999996,-74.19314,Tuxedo Park
