zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10122,New York,NY,shopping,0,0,0,0,1,33,0,0,40.7518704153219,-73.992136375192
10122,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10123,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10123,New York,NY,shopping,0,0,4,116,0,0,1,25,40.75155156579325,-73.99085092226505
10123,New York,NY,localservices,0,0,0,0,0,0,0,0,40.75140774780693,-73.99067789486647
10124,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10124,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10124,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10125,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10125,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10125,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10126,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10126,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10126,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10128,New York,NY,restaurants,31,2388,74,18033,7,1170,0,0,40.780964979323684,-73.95025743808502
10128,New York,NY,shopping,9,239,46,770,9,127,11,108,40.78212429176953,-73.95224578425331
10128,New York,NY,localservices,10,101,21,385,9,96,3,46,40.78139800643571,-73.95096951015793
10129,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10129,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10129,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10130,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10130,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10130,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10131,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10131,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10131,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10132,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10132,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10132,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10133,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10133,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10133,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10138,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10138,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10138,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10149,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10149,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10149,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10150,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10150,New York,NY,shopping,0,0,0,0,0,0,1,3,40.7583618164063,-73.9688568115234
10150,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10151,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10151,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10151,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10152,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10152,New York,NY,shopping,0,0,0,0,0,0,0,0,40.758457,-73.972145
10152,New York,NY,localservices,0,0,0,0,0,0,0,0,40.758457,-73.972145
10153,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10153,New York,NY,shopping,0,0,1,5,2,995,2,6,40.763892893920556,-73.973205690288
10153,New York,NY,localservices,0,0,0,0,1,982,0,0,40.7637929574439,-73.9730206320159
10154,New York,NY,restaurants,1,421,0,0,0,0,0,0,40.7576813278964,-73.9732953737526
10154,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10154,New York,NY,localservices,0,0,0,0,0,0,0,0,40.757755,-73.972427
10155,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10155,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10155,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10156,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10156,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10156,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10157,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10157,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10157,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10158,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10158,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10158,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10159,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10159,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10159,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10160,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10160,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10160,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10161,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10161,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10161,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10162,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10162,New York,NY,shopping,0,0,0,0,0,0,0,0,40.76966,-73.95061
10162,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10163,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10163,New York,NY,shopping,0,0,1,1,0,0,0,0,40.75322,-73.97483
10163,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10164,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10164,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10164,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10165,New York,NY,restaurants,0,0,1,60,0,0,0,0,40.7521344,-73.9785697
10165,New York,NY,shopping,0,0,1,26,0,0,0,0,40.752297,-73.978456
10165,New York,NY,localservices,0,0,0,0,0,0,0,0,40.75231636666667,-73.97846476666666
10166,New York,NY,restaurants,1,7,3,524,2,449,0,0,40.753944742728336,-73.97657987085519
10166,New York,NY,shopping,0,0,0,0,2,10,0,0,40.753461433333335,-73.97698426666666
10166,New York,NY,localservices,0,0,0,0,0,0,0,0,40.75323665,-73.97725195000001
10167,New York,NY,restaurants,1,81,1,3,0,0,0,0,40.7549306902757,-73.97503453373844
10167,New York,NY,shopping,0,0,0,0,0,0,0,0,40.75462,-73.97471
10167,New York,NY,localservices,0,0,0,0,0,0,0,0,40.7546217,-73.9746236
10168,New York,NY,restaurants,2,441,1,89,0,0,0,0,40.7510995771992,-73.97663581969432
10168,New York,NY,shopping,0,0,4,182,0,0,0,0,40.7513896,-73.97654012857143
10168,New York,NY,localservices,0,0,1,57,0,0,0,0,40.75173977999674,-73.97690163789063
